ASIN,brand,父ASIN,parent_norm,month,quarter,小类BSR,月销量,月销售额($),variant_rank,variant_kept,adj_sales,adj_revenue,价格($),评分,评分数,包装尺寸分段
B0D6F81NCM,StarknightMT,B0DQZKF4SX,B0DQZKF4SX,202605,2026Q2,22,193,56361,1,True,193,56361,379.99,4.2,79.0,大号大件
B0DQTSCS9T,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202605,2026Q2,2,441,51442,1,True,441,51442,109.97,4.8,394.0,大号大件
B0BCJP9XGW,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202605,2026Q2,2,418,45470,2,False,0,0,93.56,4.8,391.0,大号大件
B0BN2XBGPS,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202605,2026Q2,2,418,41921,3,False,0,0,95.97,4.8,391.0,大号大件
B0DT8ZQPF6,BOSYCY,B0DT941WGM,B0DT941WGM,202605,2026Q2,22,265,32857,1,True,265,32857,123.99,4.4,69.0,小号大件
B09MM87GXM,KEMIMOTO,B0DXFHHDYW,B0DXFHHDYW,202605,2026Q2,58,114,15958,1,True,114,15958,139.99,4.3,283.0,大号大件
B0BGLSWTCV,KEMIMOTO,B0DYD5HZCS,B0DYD5HZCS,202605,2026Q2,6,220,17795,1,True,220,17795,70.99,4.2,271.0,大号标准尺寸
B0F8Z997C4,Dawnjaccee,B0F8Z997C4,B0F8Z997C4,202605,2026Q2,56,111,5533,1,True,111,5533,49.85,4.4,26.0,大号标准尺寸
B0F4QFY614,Benlari,B0F9L7L8T8,B0F9L7L8T8,202605,2026Q2,102,67,2009,1,True,67,2009,29.99,4.2,45.0,小号大件
B0FC6GGJKM,KEMIMOTO,B0FC6GGJKM,B0FC6GGJKM,202605,2026Q2,122,73,16188,1,True,73,16188,219.99,4.7,21.0,超大尺寸：0 至 50 磅
B0FCFT6YMY,KEMIMOTO,B0FCFT6YMY,B0FCFT6YMY,202605,2026Q2,29,78,31199,1,True,78,31199,399.99,4.7,33.0,超大尺寸：0 至 50 磅
B0F1N5WZTX,KEMIMOTO,B0FFB7DR5K,B0FFB7DR5K,202605,2026Q2,26,141,29055,1,True,141,29055,199.99,4.6,32.0,大号大件
B0CBVBPXJ3,KEMIMOTO,B0FFB7DR5K,B0FFB7DR5K,202605,2026Q2,27,132,40031,2,False,0,0,299.99,4.4,45.0,大号大件
B0FG2N5LJD,DREAMIZER,B0FG2ML1YR,B0FG2ML1YR,202605,2026Q2,162,55,3849,1,True,55,3849,69.99,3.3,17.0,小号大件
B07VVXV8BR,ECOTRIC,B0FG38D9YP,B0FG38D9YP,202605,2026Q2,135,88,7039,1,True,88,7039,79.99,3.9,180.0,大号大件
B0B1ZNVS2R,StarknightMT,B0FJ5H953B,B0FJ5H953B,202605,2026Q2,56,108,10947,1,True,108,10947,99.98,4.5,65.0,大号大件
B0FJ8PNW5G,StarknightMT,B0FL1PR33M,B0FL1PR33M,202605,2026Q2,15,144,6766,1,True,144,6766,46.99,4.2,31.0,大号标准尺寸
B0DJW3D7NY,PSLER,B0FL6LMMM3,B0FL6LMMM3,202605,2026Q2,15,139,5337,1,True,139,5337,36.79,4.4,33.0,大号标准尺寸
B0FCS7NPTY,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202605,2026Q2,2,510,26433,1,True,510,26433,49.99,4.3,3291.0,小号大件
B01M4M3FKA,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202605,2026Q2,3,490,16444,2,False,0,0,35.9,4.3,3289.0,小号大件
B01HZLJOP8,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202605,2026Q2,3,490,15827,3,False,0,0,32.99,4.3,3290.0,小号大件
B086MGHFXB,KEMIMOTO,B0FMQYVCWV,B0FMQYVCWV,202605,2026Q2,67,97,7572,1,True,97,7572,74.99,4.2,189.0,大号大件
B0FMXNXN7M,KEMIMOTO,B0FMXNXN7M,B0FMXNXN7M,202605,2026Q2,178,47,13262,1,True,47,13262,289.99,4.9,16.0,超大尺寸：50 到 70 磅（不含 50 磅）
B0DP7LMVN6,KEMIMOTO,B0FXX97C14,B0FXX97C14,202605,2026Q2,263,92,11803,1,True,92,11803,129.99,4.8,38.0,大号大件
B07Q1ZT78Z,KEMIMOTO,B0G1SX8QKK,B0G1SX8QKK,202605,2026Q2,5,221,37119,1,True,221,37119,159.98,4.3,197.0,大号大件
B0BL11XRNG,StarknightMT,B0G2PMWBTJ,B0G2PMWBTJ,202605,2026Q2,17,164,24552,1,True,164,24552,133.17,4.5,127.0,大号大件
B0DTPMZZD2,PSLER,B0G5F8QRD3,B0G5F8QRD3,202605,2026Q2,54,139,6858,1,True,139,6858,48.99,4.4,50.0,大号标准尺寸
B0DPSL2CF5,PSLER,B0G5FWKRPQ,B0G5FWKRPQ,202605,2026Q2,35,132,5895,1,True,132,5895,44.99,4.5,52.0,大号标准尺寸
B0D5R1MVVK,StarknightMT,B0GG9WYNSN,B0GG9WYNSN,202605,2026Q2,109,106,12227,1,True,106,12227,110.99,4.6,94.0,大号大件
B09QFL93C1,WYNMOTO,B0GT9P8YRM,B0GT9P8YRM,202605,2026Q2,4,475,14701,1,True,475,14701,30.95,4.6,1741.0,小号大件
B0B1ZY67CV,WYNMOTO,B0GT9P8YRM,B0GT9P8YRM,202605,2026Q2,4,475,14482,2,False,0,0,30.49,4.6,1727.0,小号大件
B07MR9FTDK,PSLER,B0GTYL34QS,B0GTYL34QS,202605,2026Q2,76,140,3781,1,True,140,3781,27.99,4.4,134.0,大号标准尺寸
B0BBR7Q23X,WYNMOTO,B0GXTVQ4GN,B0GXTVQ4GN,202605,2026Q2,27,166,6963,1,True,166,6963,41.95,4.2,835.0,小号大件
B0FHB5VDPY,ZENTHOR,B0GZG8R5S3,B0GZG8R5S3,202605,2026Q2,24,198,6730,1,True,198,6730,33.99,4.2,34.0,小号大件
B01N36VVXG,ECOTRIC,B01N36VVXG,B01N36VVXG,202606,2026Q2,195,73,10133,1,True,73,10133,139.0,4.1,324.0,大号大件
B07437NZZZ,PSLER,B07437NZZZ,B07437NZZZ,202606,2026Q2,180,63,1499,1,True,63,1499,23.99,4.5,61.0,大号标准尺寸
B076BHDJ14,ECOTRIC,B076BHDJ14,B076BHDJ14,202606,2026Q2,141,98,7404,1,True,98,7404,75.56,3.9,387.0,小号大件
B07WFFR2XD,KEMIMOTO,B07WFFR2XD,B07WFFR2XD,202606,2026Q2,44,102,4690,1,True,102,4690,45.99,4.6,569.0,小号大件
B081CDTZ8W,KEMIMOTO,B081CDTZ8W,B081CDTZ8W,202606,2026Q2,145,51,6092,1,True,51,6092,117.31,4.0,109.0,大号大件
B088FQ4842,Green-L,B089KHVZC9,B089KHVZC9,202606,2026Q2,219,86,7713,1,True,86,7713,89.69,4.5,79.0,
B08MTCFJ68,XMT-MOTO Motorcycle Parts,B08MTCFJ68,B08MTCFJ68,202606,2026Q2,187,79,2882,1,True,79,2882,36.49,4.5,91.0,小号大件
B08Z2Y8BHP,ECOTRIC,B08Z2Y8BHP,B08Z2Y8BHP,202606,2026Q2,243,113,24308,1,True,113,24308,211.56,4.3,305.0,大号大件
B099RBN34B,KEMIMOTO,B099RBN34B,B099RBN34B,202606,2026Q2,22,134,13304,1,True,134,13304,99.99,4.5,176.0,大号大件
B09VZN5PL4,kucehiup,B09VZN5PL4,B09VZN5PL4,202606,2026Q2,271,74,1651,1,True,74,1651,22.99,4.2,83.0,大号标准尺寸
B09XXNHWT5,HECASA,B09XXNHWT5,B09XXNHWT5,202606,2026Q2,223,94,7116,1,True,94,7116,73.5,4.1,86.0,小号大件
B09T6TT1Z5,WYNMOTO,B09ZJ88P9M,B09ZJ88P9M,202606,2026Q2,59,90,3505,1,True,90,3505,38.95,4.2,135.0,小号大件
B0B497K5Z2,PSLER,B0B497K5Z2,B0B497K5Z2,202606,2026Q2,24,135,6818,1,True,135,6818,47.49,4.6,106.0,小号大件
B09T6VW767,Motoforti,B0B4ZH1NCZ,B0B4ZH1NCZ,202606,2026Q2,185,82,2477,1,True,82,2477,30.49,4.0,65.0,大号标准尺寸
B0B5TMDN52,StarknightMT,B0B5TMDN52,B0B5TMDN52,202606,2026Q2,29,128,10572,1,True,128,10572,82.99,4.7,189.0,大号大件
B0BY8MMBSP,Amazicha,B0B5Z4HBYV,B0B5Z4HBYV,202606,2026Q2,8,290,13902,1,True,290,13902,49.99,4.6,1514.0,小号大件
B07Z5XYRH2,Amazicha,B0B5Z4HBYV,B0B5Z4HBYV,202606,2026Q2,7,280,8181,2,False,0,0,29.99,4.6,1516.0,小号大件
B01M273G7T,Amazicha,B0B5ZPR42C,B0B5ZPR42C,202606,2026Q2,3,684,23249,1,True,684,23249,33.99,4.5,5260.0,小号大件
B01M2ZTZIE,Amazicha,B0B5ZPR42C,B0B5ZPR42C,202606,2026Q2,3,684,21881,2,False,0,0,31.99,4.5,5257.0,小号大件
B01MF9Z9V9,Amazicha,B0B5ZPR42C,B0B5ZPR42C,202606,2026Q2,3,684,20540,3,False,0,0,32.99,4.5,5260.0,小号大件
B09T6VBJF4,Motoforti,B0B9X7VJKV,B0B9X7VJKV,202606,2026Q2,12,241,6960,1,True,241,6960,29.09,3.9,250.0,大号标准尺寸
B0BKVD1CJ4,xitomer,B0BKVD1CJ4,B0BKVD1CJ4,202606,2026Q2,132,120,1666,1,True,120,1666,13.89,4.8,153.0,大号标准尺寸
B0BN86S19F,KEMIMOTO,B0BN86S19F,B0BN86S19F,202606,2026Q2,48,77,5259,1,True,77,5259,61.17,4.5,99.0,大号标准尺寸
B0BRKRCVRQ,StarknightMT,B0BRKRCVRQ,B0BRKRCVRQ,202606,2026Q2,35,106,4286,1,True,106,4286,39.99,4.5,180.0,大号标准尺寸
B0C2PDZNLY,StarknightMT,B0C2PDZNLY,B0C2PDZNLY,202606,2026Q2,65,132,26770,1,True,132,26770,199.99,4.6,94.0,大号大件
B0CDRZR574,StarknightMT,B0CDRZR574,B0CDRZR574,202606,2026Q2,233,66,3282,1,True,66,3282,49.99,4.7,50.0,大号标准尺寸
B0CN9KDR1L,KEMIMOTO,B0CN9KDR1L,B0CN9KDR1L,202606,2026Q2,18,131,28603,1,True,131,28603,215.99,3.7,93.0,大号大件
B0CWV89BG3,PSLER,B0CWV89BG3,B0CWV89BG3,202606,2026Q2,186,55,994,1,True,55,994,17.99,4.6,29.0,大号标准尺寸
B0CYSQBYLQ,StarknightMT,B0CYSQBYLQ,B0CYSQBYLQ,202606,2026Q2,138,66,11315,1,True,66,11315,169.99,4.1,67.0,大号大件
B0D14G9KN4,KEMIMOTO,B0D14G9KN4,B0D14G9KN4,202606,2026Q2,205,65,7057,1,True,65,7057,105.99,4.7,45.0,大号大件
B0D1TFGLFG,ECOTRIC,B0D1TFGLFG,B0D1TFGLFG,202606,2026Q2,44,61,8289,1,True,61,8289,124.99,3.7,23.0,大号大件
B0D47GYQ43,KEMIMOTO,B0D47GYQ43,B0D47GYQ43,202606,2026Q2,72,109,7083,1,True,109,7083,69.99,4.2,62.0,大号标准尺寸
B0CFTZQZTN,BOSYCY,B0D78FV5NX,B0D78FV5NX,202606,2026Q2,31,131,16486,1,True,131,16486,127.99,4.6,111.0,小号大件
B08FC94QTQ,KEMIMOTO,B0D7W2MHFB,B0D7W2MHFB,202606,2026Q2,10,303,36672,1,True,303,36672,129.99,4.7,646.0,大号大件
B08S41XKD7,KEMIMOTO,B0D7W2MHFB,B0D7W2MHFB,202606,2026Q2,10,303,36214,2,False,0,0,149.99,4.7,646.0,大号大件
B0DDXYJGNG,KEMIMOTO,B0DDXYJGNG,B0DDXYJGNG,202606,2026Q2,229,57,16250,1,True,57,16250,284.99,4.6,21.0,大号大件
B0D7PCBM96,ECOTRIC,B0DF4LZKJY,B0DF4LZKJY,202606,2026Q2,7,292,14246,1,True,292,14246,44.81,3.9,191.0,小号大件
B0D7PL7LVP,ECOTRIC,B0DF4LZKJY,B0DF4LZKJY,202606,2026Q2,7,292,14156,2,False,0,0,40.79,3.9,190.0,小号大件
B0C6M6VXJF,Benlari,B0DF6XS44H,B0DF6XS44H,202606,2026Q2,11,210,7347,1,True,210,7347,34.99,4.4,233.0,小号大件
B0C6M4DGM8,Benlari,B0DF6XS44H,B0DF6XS44H,202606,2026Q2,11,210,7347,2,False,0,0,34.99,4.4,234.0,小号大件
B07XBZN932,ECOTRIC,B0DG86HTFH,B0DG86HTFH,202606,2026Q2,15,198,16685,1,True,198,16685,84.99,4.0,471.0,大号大件
B07RYLLVS1,Justech,B0DQNLHGRW,B0DQNLHGRW,202606,2026Q2,13,353,7515,1,True,353,7515,21.59,4.2,3516.0,大号标准尺寸
B0D86Q4Z1X,Justech,B0DQNLHGRW,B0DQNLHGRW,202606,2026Q2,10,352,7529,2,False,0,0,21.99,4.2,3515.0,大号标准尺寸
B0D6F81NCM,StarknightMT,B0DQZKF4SX,B0DQZKF4SX,202606,2026Q2,21,262,73855,1,True,262,73855,289.99,4.3,86.0,大号大件
B0DQTSCS9T,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202606,2026Q2,1,380,46173,1,True,380,46173,109.97,4.7,408.0,大号大件
B0BCJP9XGW,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202606,2026Q2,2,358,36594,2,False,0,0,93.56,4.7,408.0,大号大件
B0BN2XBGPS,StarknightMT,B0DT3MCFBD,B0DT3MCFBD,202606,2026Q2,8,272,27425,3,False,0,0,99.99,4.7,406.0,大号大件
B0DT8ZQPF6,BOSYCY,B0DT941WGM,B0DT941WGM,202606,2026Q2,23,184,23182,1,True,184,23182,127.99,4.3,76.0,小号大件
B0DTJVMZFB,Amazicha,B0DTJVMZFB,B0DTJVMZFB,202606,2026Q2,161,91,4606,1,True,91,4606,54.99,4.5,70.0,小号大件
B0DWFDZVX2,StarknightMT,B0DWFDZVX2,B0DWFDZVX2,202606,2026Q2,246,84,18789,1,True,84,18789,219.99,4.4,38.0,大号大件
B0BGLSWTCV,KEMIMOTO,B0DYD5HZCS,B0DYD5HZCS,202606,2026Q2,6,332,26862,1,True,332,26862,85.99,4.3,281.0,大号标准尺寸
B09QFL93C1,WYNMOTO,B0F3HZGKR5,B0F3HZGKR5,202606,2026Q2,5,25,768,1,True,25,768,28.95,4.6,1755.0,小号大件
B0B1ZY67CV,WYNMOTO,B0F3HZGKR5,B0F3HZGKR5,202606,2026Q2,7,25,762,2,False,0,0,30.49,4.6,1753.0,小号大件
B0F4JFF7YW,VINTGMT,B0F4HY2WT8,B0F4HY2WT8,202606,2026Q2,11,108,13868,1,True,108,13868,129.99,4.6,27.0,小号大件
B0F8Z997C4,Dawnjaccee,B0F8Z997C4,B0F8Z997C4,202606,2026Q2,83,114,5682,1,True,114,5682,49.85,4.5,28.0,大号标准尺寸
B0FCFT6YMY,KEMIMOTO,B0FCFT6YMY,B0FCFT6YMY,202606,2026Q2,147,81,32399,1,True,81,32399,399.99,4.7,35.0,超大尺寸：0 至 50 磅
B0CBVBPXJ3,KEMIMOTO,B0FFB7DR5K,B0FFB7DR5K,202606,2026Q2,10,202,65726,1,True,202,65726,369.99,4.4,46.0,大号大件
B0F1N5WZTX,KEMIMOTO,B0FFB7DR5K,B0FFB7DR5K,202606,2026Q2,25,202,42662,2,False,0,0,229.99,4.5,34.0,大号大件
B07VVXV8BR,ECOTRIC,B0FG38D9YP,B0FG38D9YP,202606,2026Q2,87,69,5519,1,True,69,5519,79.99,3.8,184.0,大号大件
B0FJ8PNW5G,StarknightMT,B0FL1PR33M,B0FL1PR33M,202606,2026Q2,45,166,7735,1,True,166,7735,45.59,3.9,37.0,大号标准尺寸
B0DJW3D7NY,PSLER,B0FL6LMMM3,B0FL6LMMM3,202606,2026Q2,15,159,5614,1,True,159,5614,34.84,4.5,39.0,大号标准尺寸
B01HZLJOP8,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202606,2026Q2,5,499,16836,1,True,499,16836,33.99,4.3,3316.0,小号大件
B01HZM2Z76,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202606,2026Q2,5,499,15583,2,False,0,0,29.99,4.3,3316.0,小号大件
B01M4M3FKA,Amazicha,B0FL7WRYWQ,B0FL7WRYWQ,202606,2026Q2,1,490,16983,3,False,0,0,33.99,4.3,3316.0,小号大件
B086MGHFXB,KEMIMOTO,B0FMQYVCWV,B0FMQYVCWV,202606,2026Q2,46,110,8661,1,True,110,8661,74.99,4.2,193.0,大号大件
B0FYDYM26G,ZUCIVI,B0FYDV7XDR,B0FYDV7XDR,202606,2026Q2,1773,0,0,1,True,0,0,41.57,0.0,0.0,
B07Q1ZT78Z,KEMIMOTO,B0G1SX8QKK,B0G1SX8QKK,202606,2026Q2,17,225,41215,1,True,225,41215,199.99,4.4,199.0,大号大件
B0BL11XRNG,StarknightMT,B0G2PMWBTJ,B0G2PMWBTJ,202606,2026Q2,21,86,13305,1,True,86,13305,149.99,4.5,131.0,大号大件
B0FC78CB7V,PROFX,B0G2T1CNZS,B0G2T1CNZS,202606,2026Q2,87,55,6049,1,True,55,6049,109.99,4.2,23.0,
B0DTPMZZD2,PSLER,B0G5F8QRD3,B0G5F8QRD3,202606,2026Q2,32,166,7551,1,True,166,7551,44.99,4.5,57.0,大号标准尺寸
B0DPSL2CF5,PSLER,B0G5FWKRPQ,B0G5FWKRPQ,202606,2026Q2,35,149,6077,1,True,149,6077,39.99,4.5,58.0,大号标准尺寸
B0GCH7FT63,StarknightMT,B0GCH7FT63,B0GCH7FT63,202606,2026Q2,101,76,14439,1,True,76,14439,189.99,4.8,8.0,大号大件
B0G48T81Z5,Tvitano,B0GFCHCYQD,B0GFCHCYQD,202606,2026Q2,6,213,7521,1,True,213,7521,35.99,4.0,22.0,小号大件
B0D5R1MVVK,StarknightMT,B0GG9WYNSN,B0GG9WYNSN,202606,2026Q2,64,114,12127,1,True,114,12127,105.99,4.6,101.0,大号大件
B0D8J2M2GW,PACEWALKER,B0GR56MW91,B0GR56MW91,202606,2026Q2,935,88,1806,1,True,88,1806,21.89,3.9,117.0,大号标准尺寸
B07MR9FTDK,PSLER,B0GTYL34QS,B0GTYL34QS,202606,2026Q2,76,121,3112,1,True,121,3112,25.64,4.5,139.0,大号标准尺寸
B0BDD7GWGR,StarknightMT,B0GVS67DS6,B0GVS67DS6,202606,2026Q2,30,88,11439,1,True,88,11439,129.99,4.4,131.0,大号大件
B0BBR7Q23X,WYNMOTO,B0GXTVQ4GN,B0GXTVQ4GN,202606,2026Q2,31,202,8473,1,True,202,8473,41.95,4.2,843.0,小号大件
B0DS2B1SVT,MDPROMCP,B0H3K97YY8,B0H3K97YY8,202606,2026Q2,52,90,14673,1,True,90,14673,159.99,4.3,66.0,大号大件
B0D4DFXXQH,StarknightMT,B0H4V725XB,B0H4V725XB,202606,2026Q2,51,100,18999,1,True,100,18999,189.99,4.1,87.0,大号大件
B0DD7KFNG6,StarknightMT,B0H6VWXP4B,B0H6VWXP4B,202606,2026Q2,30,134,33668,1,True,134,33668,269.99,4.3,48.0,超大尺寸：0 至 50 磅

